id;price;property_type;room_type;amenities;accommodates;bathrooms;bed_;type;cancellation_policy;cleaning_fee;city;host_identity_verified;host_response_rate;host_since;neighbourhood;number_of_reviews;review_scores_rating;zipcode;bedrooms;beds
533884;662.01;Apartment;Entire home/apt;"{TV,Internet,""Wireless Internet"",""Air conditio...";6;1;Real;Bed;flexible;False;SF;f;None;20/01/2016;Cow Hollow;0;nan;94123;3;3
3585452;380.67;House;Private room;"{TV,Internet,""Wireless Internet"",""Air conditio...";1;1;Real;Bed;flexible;False;LA;t;None;06/03/2015;Reseda;3;100.00;91335;1;1
14320263;321.89;House;Shared room;"{TV,""Wireless Internet"",""Air conditioning"",Kit...";1;2;Real;Bed;strict;True;LA;f;100%;27/03/2016;Westlake;0;nan;90005;1;1
11399852;424.85;House;Private room;"{""Wireless Internet"",""Air conditioning"",Kitche...";2;1;Real;Bed;strict;False;NYC;t;100%;10/06/2015;Harlem;41;95.00;10027;1;2
12386097;366.36;Apartment;Shared room;"{TV,Internet,""Wireless Internet"",""Air conditio...";1;1;Real;Bed;moderate;True;NYC;t;100%;02/10/2015;Harlem;18;96.00;10027;1;2
1404510;534.71;Townhouse;Entire home/apt;"{TV,""Wireless Internet"",Kitchen,""Free parking ...";6;2;Real;Bed;moderate;True;LA;t;100%;02/09/2015;West Los Angeles;10;95.00;90025;3;3
4691130;444.27;House;Private room;"{TV,""Wireless Internet"",""Air conditioning"",Poo...";2;1;Real;Bed;flexible;True;LA;t;0%;28/10/2013;None;0;nan;91324;1;1
16449480;468.21;Apartment;Private room;"{TV,""Cable TV"",Internet,""Wireless Internet"",""A...";2;1;Real;Bed;moderate;True;NYC;f;100%;26/03/2012;East Harlem;4;90.00;10029;1;1
15149374;444.27;Bungalow;Private room;"{""Wireless Internet"",Kitchen,""Pets allowed"",""I...";3;1;Real;Bed;strict;True;LA;t;97%;17/08/2012;Venice;3;100.00;90291;0;1
10089727;594.02;Villa;Entire home/apt;"{""Air conditioning"",""Wheelchair accessible"",Po...";6;1;Real;Bed;strict;True;LA;f;100%;06/06/2015;None;15;89.00;90265;3;4
3323232;460.52;Condominium;Private room;"{TV,""Wireless Internet"",""Air conditioning"",Kit...";2;1;Real;Bed;flexible;False;NYC;f;100%;02/10/2015;Harlem;0;nan;10039;1;1
20899396;470.05;Apartment;Entire home/apt;"{TV,Internet,""Wireless Internet"",""Air conditio...";4;1;Real;Bed;flexible;True;NYC;t;100%;21/12/2013;Harlem;4;85.00;10030;1;2
3380585;436.94;Apartment;Private room;"{TV,""Cable TV"",Internet,""Wireless Internet"",""A...";2;1;Real;Bed;moderate;False;NYC;f;None;30/06/2014;Harlem;2;70.00;10027;1;1
16073836;431.75;House;Private room;"{TV,Internet,""Wireless Internet"",""Free parking...";2;1;Real;Bed;flexible;False;LA;f;None;02/09/2016;Culver City;0;nan;90232;1;1
20257960;478.75;House;Private room;"{Internet,""Wireless Internet"",""Air conditionin...";2;1;Real;Bed;flexible;False;LA;t;None;06/03/2013;Mid-Wilshire;0;nan;90035;1;1
4559312;510.59;Apartment;Entire home/apt;"{Internet,""Wireless Internet"",""Air conditionin...";4;1;Real;Bed;strict;False;NYC;t;None;06/03/2013;Harlem;2;80.00;10026;2;2
2165604;368.89;Apartment;Private room;"{""Wireless Internet"",""Air conditioning"",Kitche...";2;1;Real;Bed;moderate;True;NYC;t;100%;14/03/2016;Harlem;7;94.00;10039;1;1
18385413;409.43;Apartment;Entire home/apt;"{TV,""Cable TV"",Internet,""Wireless Internet"",""A...";2;1;Real;Bed;flexible;False;NYC;f;None;04/06/2014;Harlem;18;91.00;10030;0;1
9470528;477.91;Apartment;Entire home/apt;"{TV,""Cable TV"",Internet,""Wireless Internet"",""A...";2;1;Real;Bed;moderate;True;NYC;t;100%;02/10/2015;Harlem;5;88.00;10027;0;2
